offset 13, kernel32
643C082D, SetLocalPrimaryComputerNameW
B9A488CF, SetLocalTime
EE983477, SetLocaleInfoA
EE98348D, SetLocaleInfoW
F60605DF, SetMailslotInfo
14BDEE44, SetMessageWaitingIndicator
E97BC532, SetNamedPipeHandleState
AA556735, SetPriorityClass
86E3ED92, SetProcessAffinityMask
2DE27D01, SetProcessDEPPolicy
4CEBB784, SetProcessPriorityBoost
3CC0CA49, SetProcessShutdownParameters
0C4C6B83, SetProcessWorkingSetSize
514494D9, SetSearchPathMode
749FD823, SetStdHandle
4BBBC64D, SetSystemPowerState
A70B9685, SetSystemTime
2D1054D0, SetSystemTimeAdjustment
D951CE60, SetTapeParameters
45678841, SetTapePosition
1A9E08FE, SetTermsrvAppInstallMode
46B34DB3, SetThreadAffinityMask
E8A7C7D3, SetThreadContext
BF48C285, SetThreadExecutionState
9B219EEC, SetThreadIdealProcessor
6323F846, SetThreadLocale
D8AAF394, SetThreadPriority
4DF1B5FF, SetThreadPriorityBoost
06BCE3F9, SetThreadUILanguage
512C8313, SetTimeZoneInformation
01B44A19, SetTimerQueueTimer
5F048AF0, SetUnhandledExceptionFilter
638A3AB7, SetUserGeoID
4C77BA3F, SetVDMCurrentDirectories
312AEAA4, SetVolumeLabelA
312AEABA, SetVolumeLabelW
C15CF23B, SetVolumeMountPointA
C15CF251, SetVolumeMountPointW
92A4A1BA, SetWaitableTimer
5E3F2908, SetupComm
94C9D32D, ShowConsoleCursor
A1421BCC, SignalObjectAndWait
3F2A9609, SizeofResource
DB2D49B0, Sleep
CD7A6CAE, SleepEx
0E8C2CDC, SuspendThread
FA6E2B74, SwitchToFiber
7B1FC3DC, SwitchToThread
45A577EA, SystemTimeToFileTime
093BD065, SystemTimeToTzSpecificLocalTime
18522D68, TerminateJobObject
78B5B983, TerminateProcess
BD016F89, TerminateThread
1004076A, TermsrvAppInstallMode
B83BB6EA, Thread32First
86FED608, Thread32Next
5D2C361D, TlsAlloc
907F4D1B, TlsFree
3A44E495, TlsGetValue
3A44E615, TlsSetValue
AA25EE23, Toolhelp32ReadProcessMemory
AB55924F, TransactNamedPipe
70360A0F, TransmitCommChar
3D8ABFBF, TrimVirtualBuffer
33D51212, TryEnterCriticalSection
70D38544, TzSpecificLocalTimeToSystemTime
BEC55FE6, UTRegister
D96F5FFB, UTUnRegister
36EF56ED, UnhandledExceptionFilter
7F258057, UnlockFile
CB881657, UnlockFileEx
B2089259, UnmapViewOfFile
736E5177, UnregisterConsoleIME
07868641, UnregisterWait
E3C990B9, UnregisterWaitEx
F3C1F836, UpdateResourceA
F3C1F84C, UpdateResourceW
E9C2265B, VDMConsoleOperation
808E4CC6, VDMOperationStarted
79F38376, ValidateLCType
97D63D76, ValidateLocale
358FD8BB, VerLanguageNameA
358FD8D1, VerLanguageNameW
B917C2E1, VerSetConditionMask
DB737302, VerifyConsoleIoHandle
084EF581, VerifyVersionInfoA
084EF597, VerifyVersionInfoW
91AFCA54, VirtualAlloc
6E1A959C, VirtualAllocEx
A964FE8E, VirtualBufferExceptionHandler
030633AC, VirtualFree
C3B4EB78, VirtualFreeEx
0EF632F2, VirtualLock
7946C61B, VirtualProtect
53D98756, VirtualProtectEx
A3C8C8AA, VirtualQuery
F45A2B20, VirtualQueryEx
52A4ADF3, VirtualUnlock
3C795949, WTSGetActiveConsoleSessionId
F4EE1D55, WaitCommEvent
B1813EB1, WaitForDebugEvent
23EAD524, WaitForMultipleObjects
FCDD4980, WaitForMultipleObjectsEx
CE05D9AD, WaitForSingleObject
839E6BEB, WaitForSingleObjectEx
6415A041, WaitNamedPipeA
6415A057, WaitNamedPipeW
C1634AF9, WideCharToMultiByte
0E8AFE98, WinExec
88D2F963, WriteConsoleA
A8107A37, WriteConsoleInputA
9BB83235, WriteConsoleInputVDMA
9BB8324B, WriteConsoleInputVDMW
A8107A4D, WriteConsoleInputW
496D8108, WriteConsoleOutputA
D1C029DF, WriteConsoleOutputAttribute
4166A81E, WriteConsoleOutputCharacterA
4166A834, WriteConsoleOutputCharacterW
496D811E, WriteConsoleOutputW
88D2F979, WriteConsoleW
E80A791F, WriteFile
04C64872, WriteFileEx
4FADCAC0, WriteFileGather
B28F0D51, WritePrivateProfileSectionA
B28F0D67, WritePrivateProfileSectionW
4B63076C, WritePrivateProfileStringA
4B630782, WritePrivateProfileStringW
63CB04AC, WritePrivateProfileStructA
63CB04C2, WritePrivateProfileStructW
D83D6AA1, WriteProcessMemory
F2D0BEF2, WriteProfileSectionA
F2D0BF08, WriteProfileSectionW
81972F74, WriteProfileStringA
81972F8A, WriteProfileStringW
850218EE, WriteTapemark
176B63D5, ZombifyActCtx
670E99D4, _hread
E9238AD9, _hwrite
DD1A4C5B, _lclose
E88A49EA, _lcreat
EAAAD9E1, _llseek
612EDC9E, _lopen
670ED9D4, _lread
E9238ADB, _lwrite
68BF596E, lstrcat
CB73463B, lstrcatA
CB734651, lstrcatW
691F596A, lstrcmp
CB53493B, lstrcmpA
CB534951, lstrcmpW
CB534963, lstrcmpi
4B1E5ADB, lstrcmpiA
4B1E5AF1, lstrcmpiW
69375973, lstrcpy
CB9B49FB, lstrcpyA
CB9B4A11, lstrcpyW
CB9B4A28, lstrcpyn
51465D1B, lstrcpynA
51465D31, lstrcpynW
68DF5BA8, lstrlen
DD43473B, lstrlenA
DD434751, lstrlenW
