offset 13, kernel32
9E15D236, EnumerateLocalComputerNamesA
9E15D24C, EnumerateLocalComputerNamesW
720A771F, EraseTape
B3504846, EscapeCommFunction
73E2D87E, ExitProcess
60E0CEEF, ExitThread
EB3AA609, ExitVDM
EEB585D8, ExpandEnvironmentStringsA
EEB585EE, ExpandEnvironmentStringsW
A66CB8F7, ExpungeConsoleCommandHistoryA
A66CB90D, ExpungeConsoleCommandHistoryW
AA6AD77D, ExtendVirtualBuffer
62297F57, FatalAppExitA
62297F6D, FatalAppExitW
551EEAC5, FatalExit
EEAA79EA, FileTimeToDosDateTime
87171EE8, FileTimeToLocalFileTime
3810CB0F, FileTimeToSystemTime
70AA69FA, FillConsoleOutputAttribute
423B9F70, FillConsoleOutputCharacterA
423B9F86, FillConsoleOutputCharacterW
3429E0E2, FindActCtxSectionGuid
51D0FF82, FindActCtxSectionStringA
51D0FF98, FindActCtxSectionStringW
33243954, FindAtomA
3324396A, FindAtomW
23545978, FindClose
48B46D47, FindCloseChangeNotification
6A9BE3D8, FindFirstChangeNotificationA
6A9BE3EE, FindFirstChangeNotificationW
63D6C065, FindFirstFileA
F9701A99, FindFirstFileExA
F9701AAF, FindFirstFileExW
63D6C07B, FindFirstFileW
1918249D, FindFirstVolumeA
92C09AD4, FindFirstVolumeMountPointA
92C09AEA, FindFirstVolumeMountPointW
191824B3, FindFirstVolumeW
9593F2C9, FindNextChangeNotification
A5E1AC97, FindNextFileA
A5E1ACAD, FindNextFileW
9BD3312D, FindNextVolumeA
B36F5DF8, FindNextVolumeMountPointA
B36F5E0E, FindNextVolumeMountPointW
9BD33143, FindNextVolumeW
3BD09A55, FindResourceA
F7E6968F, FindResourceExA
F7E696A5, FindResourceExW
3BD09A6B, FindResourceW
7E9CF1EE, FindVolumeClose
AD743E5F, FindVolumeMountPointClose
E3F4A4CB, FlushConsoleInputBuffer
37F385D9, FlushFileBuffers
53120980, FlushInstructionCache
B12C56D7, FlushViewOfFile
C28EC08D, FoldStringA
C28EC0A3, FoldStringW
1EAA62E7, FormatMessageA
1EAA62FD, FormatMessageW
4F76990F, FreeConsole
4FBDC230, FreeEnvironmentStringsA
4FBDC246, FreeEnvironmentStringsW
4DC9D5A0, FreeLibrary
31E3B803, FreeLibraryAndExitThread
54423F7C, FreeResource
831C3F23, FreeUserPhysicalPages
397CAFBF, FreeVirtualBuffer
3DDC4CF9, GenerateConsoleCtrlEvent
6A1E60B4, GetACP
C87AAA51, GetAtomNameA
C87AAA67, GetAtomNameW
16D7D12C, GetBinaryType
8960B6FF, GetBinaryTypeA
8960B715, GetBinaryTypeW
76A31299, GetCPFileNameFromRegistry
5E0528B1, GetCPInfo
667C1BD2, GetCPInfoExA
667C1BE8, GetCPInfoExW
69C776CF, GetCalendarInfoA
69C776E5, GetCalendarInfoW
8D082211, GetComPlusPackageInstallStatus
D0CF3436, GetCommConfig
535E1954, GetCommMask
A426F767, GetCommModemStatus
E1949FDE, GetCommProperties
F0EAF6D5, GetCommState
C35503C6, GetCommTimeouts
36EF7370, GetCommandLineA
36EF7386, GetCommandLineW
7199B6EA, GetCompressedFileSizeA
7199B700, GetCompressedFileSizeW
96A4228F, GetComputerNameA
ACC8A526, GetComputerNameExA
ACC8A53C, GetComputerNameExW
96A422A5, GetComputerNameW
61161677, GetConsoleAliasA
54FFCF93, GetConsoleAliasExesA
8FC05173, GetConsoleAliasExesLengthA
8FC05189, GetConsoleAliasExesLengthW
54FFCFA9, GetConsoleAliasExesW
6116168D, GetConsoleAliasW
491DA719, GetConsoleAliasesA
EDD821EA, GetConsoleAliasesLengthA
EDD82200, GetConsoleAliasesLengthW
491DA72F, GetConsoleAliasesW
DF68B7C3, GetConsoleCP
0AF6BC79, GetConsoleCharType
F9C0913F, GetConsoleCommandHistoryA
9672E476, GetConsoleCommandHistoryLengthA
9672E48C, GetConsoleCommandHistoryLengthW
F9C09155, GetConsoleCommandHistoryW
FFE2B31E, GetConsoleCursorInfo
07D2B355, GetConsoleCursorMode
1796A152, GetConsoleDisplayMode
74C2DA29, GetConsoleFontInfo
8962D8DF, GetConsoleFontSize
D41A3436, GetConsoleHardwareState
2AD46BA2, GetConsoleInputExeNameA
2AD46BB8, GetConsoleInputExeNameW
3412C223, GetConsoleInputWaitHandle
AF0C93A2, GetConsoleKeyboardLayoutNameA
AF0C93B8, GetConsoleKeyboardLayoutNameW
F14DF91C, GetConsoleMode
8D07A815, GetConsoleNlsMode
CBC29CAD, GetConsoleOutputCP
11F2864D, GetConsoleProcessList
E87ABACD, GetConsoleScreenBufferInfo
E98FF293, GetConsoleSelectionInfo
F6A5E940, GetConsoleTitleA
F6A5E956, GetConsoleTitleW
6AF5E778, GetConsoleWindow
BD8CCD59, GetCurrencyFormatA
BD8CCD6F, GetCurrencyFormatW
6D65776F, GetCurrentActCtx
C0158DE6, GetCurrentConsoleFont
BFC6EB4F, GetCurrentDirectoryA
BFC6EB65, GetCurrentDirectoryW
7B8F17E6, GetCurrentProcess
E60DFA02, GetCurrentProcessId
E8CDCFE4, GetCurrentThread
35BBF99E, GetCurrentThreadId
F72A53BA, GetDateFormatA
F72A53D0, GetDateFormatW
061DD75C, GetDefaultCommConfigA
061DD772, GetDefaultCommConfigW
E656885E, GetDefaultSortkeySize
6A377599, GetDevicePowerState
3BF42C83, GetDiskFreeSpaceA
00CB2210, GetDiskFreeSpaceExA
00CB2226, GetDiskFreeSpaceExW
3BF42C99, GetDiskFreeSpaceW
E73F2397, GetDllDirectoryA
E73F23AD, GetDllDirectoryW
E9D18E21, GetDriveTypeA
E9D18E37, GetDriveTypeW
0BDAE9F5, GetEnvironmentStrings
4FA85F18, GetEnvironmentStringsA
4FA85F2E, GetEnvironmentStringsW
F2E1A963, GetEnvironmentVariableA
F2E1A979, GetEnvironmentVariableW
AC30AB74, GetExitCodeProcess
1B3F95F9, GetExitCodeThread
4FB5A8A9, GetExpandedNameA
4FB5A8BF, GetExpandedNameW
56F7390A, GetFileAttributesA
C18E43D6, GetFileAttributesExA
C18E43EC, GetFileAttributesExW
56F73920, GetFileAttributesW
C0132B93, GetFileInformationByHandle
DF7D9BAD, GetFileSize
E18EEBEF, GetFileSizeEx
E1159BAD, GetFileTime
E12D9FAD, GetFileType
C52309DB, GetFirmwareEnvironmentVariableA
C52309F1, GetFirmwareEnvironmentVariableW
31EC005A, GetFullPathNameA
31EC0070, GetFullPathNameW
9513DAEB, GetGeoInfoA
